NPTREF,SMSREF,GPSLAT,GPSLON,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9400ZZMAABM,MANTPDWG,53.510507,-2.235415,384485,401560,Abraham Moss,WOODLANDS ROAD,GREENSTEAD AVE,M,E0028704,NBR501
9400ZZMAAIR,MANTWJMJ,53.365336,-2.272439,381968,385418,Manchester Airport,TERMINAL RD,,M,N0075057,SBR727
9400ZZMAALT,MANTMTMG,53.387452,-2.347277,377000,387900,Altrincham,STAMFORD NEW RD,MOSS LANE,M,E0028261,SJR493
9400ZZMAAMO,MANTWDPT,53.483604,-2.121992,392002,398548,Ashton Moss,LORD SHELDON WY,,M,E0028488,EHR661
9400ZZMAANC,MANTMTMP,53.474309,-2.28602,381113,397545,Anchorage,ANCHORAGE QUAY,NONE,M,N0075140,NFR482
9400ZZMAAUD,MANTWDPG,53.478211,-2.131092,391397,397949,Audenshaw,DROYLSDEN RD,,M,N0076715,EHR658
9400ZZMAAUL,MANTWDTM,53.490341,-2.098032,393593,399295,Ashton-Under-Lyne,WELLINGTON RD,,M,E0028492,EHR667
9400ZZMAAWT,MANTWDTD,53.490241,-2.109727,392817,399285,Ashton West,LORD SHELDON WY,,M,E0028488,EHR664
9400ZZMABAG,MANTWGWJ,53.396533,-2.292521,380646,388894,Baguley,SOUTHMOOR ROAD,,M,E0028505,SBR700
9400ZZMABAR,MANTWGPG,53.43283,-2.26935,382202,392926,Barlow Moor Road,MAULDETH RD,BARLOW MOOR RD,M,E0028716,SBR685
9400ZZMABKS,MANTMTMT,53.417102,-2.326109,378423,391192,Brooklands,BROOKLANDS RD,STATION APPROCH,M,E0028623,SJR040
9400ZZMABLL,MANTWJAT,53.387088,-2.256221,383056,387834,Benchill,BROWNLEY RD,,M,E0028539,SBR709
9400ZZMABNR,MANTWDAP,53.429196,-2.240701,384104,392515,Burton Road,BURTON ROAD,,M,E0029519,SBR645
9400ZZMABOB,MANTMTMW,53.541946,-2.286067,381140,405070,Besses o'th'Barn,BURY OLD RD,THATCH LEACH LA,M,E0028543,NCR023
9400ZZMABOW,MANTMTPA,53.524949,-2.249976,383525,403170,Bowker Vale,MIDDLETON RD,WHITE HO A,M,E0028588,NBR124
9400ZZMABUR,MANTMTPD,53.590923,-2.297109,380431,410522,Bury,ANGOULEME WAY,,M,E0028659,NCR313
9400ZZMABWY,MANTMTPJ,53.474836,-2.294957,380520,397606,Broadway,BROADWAY,S LANGWORTHY RD,M,N0074915,NFR484
9400ZZMACEM,MANTPWTW,53.479863,-2.15501,389810,398136,Cemetery Road,MANCHESTER ROAD,,M,E0028353,EHR633
9400ZZMACHO,MANTPDWD,53.442852,-2.273433,381935,394042,Chorlton,WILBRAHAM ROAD,NONE,M,E0028713,SBR500
9400ZZMACLN,MANTPWPD,53.482799,-2.182159,388009,398467,Clayton Hall,ASHTON NEW ROAD,,M,E0028720,EBR627
9400ZZMACRN,MANTMTPM,53.469992,-2.267581,382335,397060,Cornbrook,POMONA STRAND,,M,E0028280,SJR478
9400ZZMACRU,MANTMTPT,53.517345,-2.241063,384113,402322,Crumpsall,STATION RD,,M,E0028802,NBR123
9400ZZMACSS,MANTWJDG,53.383376,-2.256259,383052,387421,Crossacres,BROWNLEY RD,,M,E0029594,SBR712
9400ZZMACTP,MANTPDPT,53.501621,-2.19923,386882,400564,Central Park,THE GATEWAY,NONE,M,E0029135,EBR497
9400ZZMADER,MANTPWAD,53.549823,-2.101624,393364,405913,Derker,YATES STREET,SHAW ROAD,M,E0028333,EDR026
9400ZZMADID,MANTWDGP,53.416743,-2.228564,384906,391127,Didsbury Village,OLIVE SHAPLEY A,,M,E0028336,SBR650
9400ZZMADNE,MANTMTPW,53.43031,-2.311326,379412,392657,Dane Road,DANE ROAD,CROSS STREET,M,E0029289,SJR037
9400ZZMADRO,MANTWADJ,53.479453,-2.144672,390496,398089,Droylsden,ASHTON ROAD,,M,E0028353,EHR636
9400ZZMAECC,MANTMTWA,53.482893,-2.334584,377899,398533,Eccles,REGENT STREET,COLLEGE CROFT,M,E0028369,NFR488
9400ZZMAECS,MANTPWMG,53.485375,-2.201339,386737,398757,Etihad Campus,JOE MERCER WAY,,M,N0075154,EBR621
9400ZZMAEDY,MANTWDJD,53.412055,-2.217255,385656,390603,East Didsbury,KINGSWAY,,M,E0028368,EBR654
9400ZZMAELN,MANTPWPM,53.480865,-2.16523,389132,398249,Edge Lane,MANCHESTER RD,,M,E0028353,EHR630
9400ZZMAEXC,MANTMTWD,53.467837,-2.282315,381356,396824,Exchange Quay,EXCHANGE QUAY,COLGATE LANE,M,N0075140,NFR480
9400ZZMAEXS,MANTWMJT,53.484471,-2.24267,383994,398665,Exchange Square,CORPORATION ST,,M,E0057786,NBR729
9400ZZMAFIR,MANTPDPM,53.451291,-2.277719,381654,394982,Firswood,RYE BANK RD,NONE,M,E0028403,SJR496
9400ZZMAFRE,MANTPTAD,53.537616,-2.13817,390940,404559,Freehold,BLOCK LANE,,M,E0028692,EDR596
9400ZZMAFWH,MANTPMTP,53.510619,-2.162932,389292,401559,Failsworth,HARDMAN LANE,OLD ROAD,M,E0028385,EDR126
9400ZZMAGMX,MANTMTWG,53.474747,-2.251098,383431,397585,Deansgate - Castlefield,WHITWORTH ST W,,M,E0057786,SBR312
9400ZZMAHCY,MANTMTWJ,53.474027,-2.291321,380761,397515,Harbour City,THE QUAYS,THE VICTORIA,M,N0076733,NFR483
9400ZZMAHEA,MANTMTWM,53.530494,-2.267177,382387,403791,Heaton Park,WHITTAKER LANE,,M,N0075005,NCR128
9400ZZMAHOL,MANTPMWD,53.519844,-2.147494,390318,402583,Hollinwood,RAILWAY RD,BOWER LANE,M,E0028839,EDR068
9400ZZMAHTN,MANTPWJW,53.483217,-2.212194,386016,398519,Holt Town,HOLT TOWN,,M,E0028845,EBR618
9400ZZMAKNY,MANTWADT,53.61112,-2.123855,391903,412735,Kingsway Business Park,LEYFIELD RD,,M,E0029072,NER639
9400ZZMALDY,MANTMTWP,53.483993,-2.326757,378414,398634,Ladywell,ECCLES NEW ROAD,GILDA BROOK RD,M,N0075035,NFR487
9400ZZMALWY,MANTMTWT,53.480613,-2.295962,380456,398249,Langworthy,ECCLES NEW RD,MISSOURI AVE,M,N0076701,NFR485
9400ZZMAMCU,MANTPDGW,53.472278,-2.296883,380391,397322,MediaCityUK,THE QUAYS,,M,N0079088,NFR495
9400ZZMAMFT,MANTWJAJ,53.39188,-2.279828,381488,388373,Martinscroft,HOLLYHEDGE RD,,M,E0029129,SBR706
9400ZZMAMIL,MANTPWDJ,53.608112,-2.112088,392681,412399,Milnrow,STATION ROAD,ELIZABETHAN WAY,M,E0029072,NER061
9400ZZMAMKT,MANTMTJA,53.481917,-2.238783,384251,398380,Market Street,MARKET ST,HIGH STREET,M,E0057786,EBR307
9400ZZMAMON,MANTPDTA,53.50108,-2.210685,386122,400506,Monsall,MONSALL STREET,RUISLIP AVENUE,M,E0029076,EBR499
9400ZZMAMRD,MANTWGWA,53.403421,-2.295201,380471,389661,Moor Road,MOOR ROAD,BIDEFORD DRIVE,M,E0028505,SBR697
9400ZZMANAV,MANTMWAG,53.395723,-2.343329,377267,388819,Navigation Road,NAVIGATION ROAD,GROSVENOR ROAD,M,N0075095,SJR492
9400ZZMANBD,MANTPWDT,53.613381,-2.135516,391132,412988,Newbold,KINGSWAY,,M,E0029130,NER608
9400ZZMANEW,MANTPMTM,53.504125,-2.184648,387850,400840,Newton Heath & Moston,DEAN LANE,IVY GRAHAM,M,E0029135,EBR129
9400ZZMANHY,MANTPWAW,53.600864,-2.094857,393820,411591,Newhey,HUDDERSFIELD RD,RAILWAY STREET,M,E0029132,NER053
9400ZZMANIS,MANTPWJM,53.481082,-2.219777,385512,398283,New Islington,POLLARD STREET,,M,N0080417,EBR615
9400ZZMANMR,MANTWGTD,53.41453,-2.288222,380940,390895,Northern Moor,SALE ROAD,,M,N0075104,SBR691
9400ZZMAOKS,MANTWGDT,53.539571,-2.117187,392331,404774,Oldham King Street,KING STREET,,M,E0057798,EDR679
9400ZZMAOLD,MANTMWAJ,53.456435,-2.284559,381202,395556,Old Trafford,WARWICK ROAD,ELSINORE ROAD,M,E0029170,SJR052
9400ZZMAOMC,MANTWGJD,53.540277,-2.112179,392663,404852,Oldham Central,UNION ST,,M,E0057798,EDR682
9400ZZMAOMP,MANTPTAM,53.542406,-2.103433,393243,405088,Oldham Mumps,MUMPS,,M,N0075108,EDR066
9400ZZMAPGD,MANTMWAM,53.480222,-2.23686,384378,398191,Piccadilly Gardens,PARKER STREET,PORTLAND STREET,M,N0075071,EBR308
9400ZZMAPIC,MANTMWAP,53.477214,-2.230952,384769,397855,Piccadilly,LONDON RD,,M,E0057786,EBR491
9400ZZMAPLL,MANTWJGP,53.373708,-2.250413,383437,386344,Peel Hall,SIMONSWAY,,M,E0029196,SBR721
9400ZZMAPOM,MANTMWAT,53.466578,-2.275137,381644,396530,Pomona,POMONA STRAND,,M,N0075140,SJR479
9400ZZMAPWC,MANTMWAW,53.533372,-2.281981,381407,404115,Prestwich,POPPYTHORN LANE,RECTORY LANE,M,E0029221,NCR125
9400ZZMAQRD,MANTWDWT,53.501707,-2.226653,385063,400579,Queens Road,QUEENS RD,,M,E0029339,NBR673
9400ZZMARAD,MANTMWDA,53.562305,-2.321003,378835,407345,Radcliffe,CHURCH STREET,SPRING LANE,M,E0029232,NCR076
9400ZZMARIN,MANTWDWJ,53.61733,-2.155317,389823,413430,Rochdale,SMITH ST,,M,E0057799,NER670
9400ZZMARND,MANTWGWT,53.392604,-2.289155,380868,388456,Roundthorn,SOUTHMOOR RD,HOLLYHEDGE ROAD,M,E0029271,SBR703
9400ZZMARRS,MANTPWGD,53.611021,-2.154447,389879,412728,Rochdale Railway Station,MACLURE RD,,M,E0057799,NER611
9400ZZMARWD,MANTWJGA,53.376315,-2.25853,382898,386636,Robinswood Road,SIMONSWAY,,M,E0029594,SBR718
9400ZZMASCH,MANTPMWM,53.526516,-2.145269,390467,403325,South Chadderton,CANAL ST,,M,E0029538,EDR593
9400ZZMASDW,MANTWJMA,53.367573,-2.252511,383295,385662,Shadowmoss,SHADOW MOSS RD,,M,E0029575,SBR724
9400ZZMASFD,MANTMWDG,53.446086,-2.303793,379920,394410,Stretford,EDGE LANE,HAPTON AVENUE,M,N0075174,SJR038
9400ZZMASHA,MANTPWAM,53.576159,-2.089546,394168,408842,Shaw and Crompton,BEAL LANE,JUBLIEE STREET,M,E0029308,EDR025
9400ZZMASHU,MANTMWDJ,53.48529,-2.23908,384233,398750,Shudehill,SHUDEHILL,DANTZIC ST,M,N0077806,NBR494
9400ZZMASLE,MANTMWDM,53.424438,-2.318852,378909,392006,Sale,SCHOOL ROAD,HOPE RD,M,E0029289,SJR039
9400ZZMASQY,MANTMWDP,53.470359,-2.283974,381247,397105,Salford Quays,CAPITAL QUAY,MERCHANTS QUAY,M,N0075140,NFR481
9400ZZMASTP,MANTMWDT,53.478215,-2.243117,383962,397969,St Peter's Square,SAINT PETERS SQ,OXFORD ROAD,M,E0057786,SBR311
9400ZZMASTW,MANTPDPW,53.438717,-2.265428,382465,393580,St Werburgh's Road,ST WERBURGHS RD,NONE,M,E0028713,SBR498
9400ZZMASWP,MANTWGPT,53.428231,-2.290828,380773,392420,Sale Water Park,RIFLE ROAD,,M,E0029289,SJR688
9400ZZMATIM,MANTMWDW,53.40452,-2.338256,377609,389796,Timperley,PARK RD,BALMORAL DRIVE,M,E0029443,SJR034
9400ZZMATRA,MANTMWGA,53.461845,-2.277049,381703,396156,Trafford Bar,STRETFORD ROAD,SEYMOUR GROVE,M,N0075186,SJR051
9400ZZMAVIC,MANTMWGD,53.487394,-2.241948,384043,398990,Victoria,CORPORATION ST,,M,E0057786,NBR314
9400ZZMAVPK,MANTPWMT,53.482279,-2.193022,387288,398411,Velopark,ASHTON NEW ROAD,,M,N0075154,EBR624
9400ZZMAWFD,MANTMWGM,53.551227,-2.295261,380535,406105,Whitefield,BURY NEW ROAD,STANLEY ROAD,M,E0029536,NCR024
9400ZZMAWIT,MANTWDAD,53.43281,-2.249407,383527,392919,Withington,PRINCESS RD,,M,E0029558,SBR642
9400ZZMAWPK,MANTWGTM,53.407671,-2.295666,380442,390134,Wythenshawe Park,WYTHENSHAWE RD,,M,N0075104,SBR694
9400ZZMAWST,MANTMWGP,53.482488,-2.308,379658,398461,Weaste,ECCLES NEW RD,KNOTT STREET,M,E0029513,NFR486
9400ZZMAWTD,MANTWDGA,53.424477,-2.236039,384412,391989,West Didsbury,LAPWING LANE,,M,E0029519,SBR648
9400ZZMAWWD,MANTWGDJ,53.542321,-2.125871,391756,405081,Westwood,MIDDLETON RD,,M,E0029527,EDR676
9400ZZMAWYT,MANTWJDP,53.380025,-2.263755,382552,387050,Wythenshawe Town Centre,AINLEY ROAD,,M,E0029594,SBR715
