stop,rstnam,line,nptref,smsref,gmgrfe,gmgrfn,mainrd,sidest,nettyp,gazref,netwrf,lifts,ramps,cycle_prov,cycle_lockers,stands,car_parking,total_spaces,bb_spaces
Altrincham,Altrincham,Altrincham,9400ZZMAALT,MANTMTMG,377000,387900,STAMFORD NEW RD,MOSS LANE,M,E0028261,SJR493,No,Yes,Yes,0,8,No,0,0
Brooklands,Brooklands,Altrincham,9400ZZMABKS,MANTMTMT,378423,391192,BROOKLANDS RD,STATION APPROCH,M,E0028623,SJR040,Yes,No,Yes,2,3,Yes,108,0
Cornbrook,Cornbrook,Altrincham,9400ZZMACRN,MANTMTPM,382335,397060,POMONA STRAND,NA,M,E0028280,SJR478,Yes,No,No,0,0,No,0,0
Dane Road,Dane Road,Altrincham,9400ZZMADNE,MANTMTPW,379412,392657,DANE ROAD,CROSS STREET,M,E0029289,SJR037,Yes,Yes,Yes,3,5,No,0,0
Navigation Road,Navigation Road,Altrincham,9400ZZMANAV,MANTMWAG,377267,388819,NAVIGATION ROAD,GROSVENOR ROAD,M,N0075095,SJR492,No,No,Yes,5,5,Yes,81,6
Old Trafford,Old Trafford,Altrincham,9400ZZMAOLD,MANTMWAJ,381202,395556,WARWICK ROAD,ELSINORE ROAD,M,E0029170,SJR052,No,Yes,Yes,5,0,No,0,0
Sale,Sale,Altrincham,9400ZZMASLE,MANTMWDM,378909,392006,SCHOOL ROAD,HOPE RD,M,E0029289,SJR039,Yes,Yes,Yes,2,0,Yes,25,2
Stretford,Stretford,Altrincham,9400ZZMASFD,MANTMWDG,379920,394410,EDGE LANE,HAPTON AVENUE,M,N0075174,SJR038,No,Yes,Yes,3,5,Yes,33,2
Timperley,Timperley,Altrincham,9400ZZMATIM,MANTMWDW,377609,389796,PARK RD,BALMORAL DRIVE,M,E0029443,SJR034,Yes,No,No,3,5,No,0,0
Trafford Bar,Trafford Bar,Altrincham,9400ZZMATRA,MANTMWGA,381703,396156,STRETFORD ROAD,SEYMOUR GROVE,M,N0075186,SJR051,No,Yes,No,0,0,No,0,0
Abraham Moss,Abraham Moss,Bury,9400ZZMAABM,MANTPDWG,384485,401560,WOODLANDS ROAD,GREENSTEAD AVE,M,E0028704,NBR501,No,Yes,No,0,0,Yes,2,2
Besses o' th' Barn,Besses o'th'Barn,Bury,9400ZZMABOB,MANTMTMW,381140,405070,BURY OLD RD,THATCH LEACH LA,M,E0028543,NCR023,Yes,Yes,No,4,1,Yes,9,2
Bowker Vale,Bowker Vale,Bury,9400ZZMABOW,MANTMTPA,383525,403170,MIDDLETON RD,WHITE HO A,M,E0028588,NBR124,No,Yes,No,0,0,No,0,0
